InstanceID,ProtoSurveyID,SHELL_START_DATE,SHELL_START_TIME,SHELL_COUNTRY,SHELL_LANGUAGE,SHELL_RECORDING_CONFIRMATION,SHELL_GENDER,SHELL_AGE,SHELL_AGE.SHELL_AGE_Age,SHELL_AGE_RECODED,QCenter,TOI,Qplace,RQ1._1,RQ1._2,RQ1._3,RQ1._4,RQ1._4._C_4,RQ2,DEM1,DEM1._C_1,DEM1PostCode,DEM2,DEM3,DEM3._C_7,DEM4a,DEM4b,DEM5a,DEM5a._C_15,DEM5b,DEM6,QSEC,Q1._1,Q1._2,Q1._3,Q1._4,Q1._5,Q1._6,Q2,Q2._C_1,Q3._1,Q3._2,Q3._3,Q3._4,Q3._5,Q3._6,Q3._7,Q4Loop@_1.Q4,Q4Loop@_2.Q4,Q4Loop@_3.Q4,Q4Loop@_4.Q4,Q4Loop@_5.Q4,Q4Loop@_6.Q4,Q5Loop@_1.Q5,Q5Loop@_2.Q5,Q5Loop@_3.Q5,Q5Loop@_4.Q5,Q5Loop@_5.Q5,Q5Loop@_6.Q5,Q5Loop@_7.Q5,Q6Loop@_1.Q6._1,Q6Loop@_1.Q6._2,Q6Loop@_1.Q6._3,Q6Loop@_1.Q6._4,Q6Loop@_1.Q6._5,Q6Loop@_1.Q6._6,Q6Loop@_2.Q6._1,Q6Loop@_2.Q6._2,Q6Loop@_2.Q6._3,Q6Loop@_2.Q6._4,Q6Loop@_2.Q6._5,Q6Loop@_2.Q6._6,Q6Loop@_3.Q6._1,Q6Loop@_3.Q6._2,Q6Loop@_3.Q6._3,Q6Loop@_3.Q6._4,Q6Loop@_3.Q6._5,Q6Loop@_3.Q6._6,Q6Loop@_4.Q6._1,Q6Loop@_4.Q6._2,Q6Loop@_4.Q6._3,Q6Loop@_4.Q6._4,Q6Loop@_4.Q6._5,Q6Loop@_4.Q6._6,Q6Loop@_5.Q6._1,Q6Loop@_5.Q6._2,Q6Loop@_5.Q6._3,Q6Loop@_5.Q6._4,Q6Loop@_5.Q6._5,Q6Loop@_5.Q6._6,Q6Loop@_6.Q6._1,Q6Loop@_6.Q6._2,Q6Loop@_6.Q6._3,Q6Loop@_6.Q6._4,Q6Loop@_6.Q6._5,Q6Loop@_6.Q6._6,Q7Insert,Q7,Q8Loop@_1.Q8,Q8Loop@_2.Q8,Q8Loop@_3.Q8,Q8Loop@_4.Q8,Q8Loop@_5.Q8,Q8Loop@_6.Q8,Q8Loop@_7.Q8,Q8Loop@_8.Q8,Q9,D12,weight
38989,429,13691030400,13692040463,1,5,1,2,1,90,6,2,1,1,0,0,0,1,Shop,2,1,90,4,2,5,,8,,14,,,40000,,0,0,0,0,0,1,1,dghj,0,0,0,0,1,0,0,2,4,1,1,1,1,2,4,3,3,3,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,1,1,5,4,3,3,2,1,1.672149
39052,429,13691116800,13692024425,1,5,2,1,1,25,2,2,2,1,0,0,0,1,Business,2,1,25,1,1,1,,10,,6,,,45000,,0,0,0,1,0,0,2,,1,0,0,0,0,0,0,1,1,2,2,2,2,3,1,3,2,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,3,2,2,2,3,2,1,2,2,0.716635
39125,429,13691116800,13692027666,1,5,2,1,1,28,2,2,2,1,0,0,0,1,Bses,2,1,28,2,1,2,,7,,10,,,20000,,0,0,0,1,1,0,1,Hijra,0,0,1,0,0,0,0,2,1,2,1,2,2,2,2,2,1,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,2,1,2,1,2,1,1,2,2,2,2,0.912081
39172,429,13691116800,13692029247,1,5,2,1,1,24,1,2,2,1,0,0,0,1,Bses,2,1,24,1,1,1,,9,,10,,,30000,,0,0,0,1,0,0,1,Kinar,0,1,0,0,0,0,0,1,2,1,2,2,2,1,3,3,2,2,2,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,2,3,1,2,1,2,2,2,2,0.716635
39230,429,13691116800,13692031736,1,5,2,1,1,25,2,2,2,1,0,0,0,1,Bses,2,1,25,1,1,1,,7,,2,,,22000,,0,0,0,1,0,0,1,Kinar,0,1,0,0,0,0,0,2,1,2,1,3,2,2,2,3,2,3,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,2,3,2,3,2,1,2,2,2,2,0.716635
39243,429,13691116800,13692033291,1,5,2,1,1,30,2,2,2,1,0,0,0,1,Bses,2,1,30,2,1,2,,6,,2,,,25000,,1,0,0,0,1,0,1,Kinar,0,0,1,0,0,0,0,1,2,2,2,2,1,2,2,2,2,3,3,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,2,3,2,2,1,2,2,2,1,2,2,0.912081
39257,429,13691116800,13692034039,1,5,2,1,1,24,1,2,2,1,0,0,0,1,Bses,2,1,24,1,1,1,,6,,2,,,21000,,0,0,1,0,0,0,1,Hijra,0,0,0,1,0,0,0,3,2,1,2,2,2,2,2,1,2,2,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2,1,2,2,1,2,2,0.716635
39264,429,13691116800,13692034578,1,5,2,1,1,25,2,2,2,1,0,0,0,1,Bses,2,1,25,1,1,1,,7,,9,,,23000,,0,0,0,1,0,0,1,Kinar,0,0,1,0,0,0,0,3,1,2,2,1,2,2,2,2,1,3,3,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,1,2,2,2,2,1,2,3,2,2,0.716635
39272,429,13691116800,13692035230,1,5,2,1,1,22,1,2,2,1,0,0,0,1,Bses,2,1,22,1,1,1,,7,,10,,,25000,,0,0,0,1,0,0,1,Kinar,0,0,1,0,0,0,0,1,1,2,2,2,1,2,1,2,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,1,2,1,2,2,2,2,2,2,2,0.716635
39279,429,13691116800,13692035904,1,5,2,1,1,20,1,2,2,1,0,0,0,1,Bses,2,1,20,1,1,1,,6,,2,,,20000,,0,0,1,0,0,0,1,Hijra,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,3,2,1,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,2,2,2,2,1,2,1,2,2,2,0.716635
